Package Name,Source,Version,Size (MB),Description,Aggregation Score (0-10),Reasoning,Capabilities
cowork-os,NPM,0.3.89,154.546,CoWork OS - The operating system for personal AI assistants,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, Docker, Browser Extensions"
chibi-bot,PyPI,1.6.6,0.237,"Your Digital Companion. Self-hosted Telegram bot orchestrating multiple AI providers (OpenAI, Anthropic, Google, xAI, DeepSeek, Mistral, Alibaba, MiniMax) with autonomous agent capabilities, MCP integrations, and async task execution. Not a tool. A partner.",10,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
crackerjack,PyPI,0.54.2,12.864,Crackerjack Python project management tool,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
octo-agent,PyPI,0.7.8,0.497,AI agent engine — embeddable LangGraph supervisor with multi-agent orchestration,10,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker"
tappi,PyPI,0.9.0,5.783,"Lightweight CDP browser control for Python — with an AI agent that can browse, read PDFs, manage files, and automate tasks.",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Browser Extensions, News/Articles"
codetrust,PyPI,2.7.0,0.03,"AI code safety platform — 280 rules, 10 enforcement layers, 5 enterprise services. AI Governance Gateway blocks destructive AI agent actions (76 real-time rules). Hallucination Detection verifies imports against PyPI/npm/crates.io/Go/Maven/NuGet/RubyGems/Packagist. Trust Score tracks safety drift. CVE scanning, license compliance, cross-file analysis, auto-fix PRs, RBAC. 45 API endpoints, 21 MCP tools, 1898 tests. CLI, VS Code extension, GitHub Action, MCP server.",10,✅ Web scraping | ✅ Database/storage | ✅ Monitoring/watching | ✅ API integration | ✅ Data processing,"Web Scraping | Database Storage | Monitoring | API Integration | Data Processing | Platforms: NPM, GitHub, PyPI, Docker, Browser Extensions"
mcp-codebase-index,PyPI,0.4.5,0.161,Structural codebase indexer with MCP server for AI-assisted development,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
@knowsuchagency/fulcrum,NPM,4.4.5,71.827,Harness Attention. Orchestrate Agents. Ship.,10,✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, Docker, News/Articles"
@jungjaehoon/mama-os,NPM,0.9.5,4.344,MAMA OS - Your AI Operating System. Control + Visibility for AI-Powered Automation,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker"
@phuetz/code-buddy,NPM,0.2.0,22.897,"Open-source multi-provider AI coding agent for the terminal. Supports Grok, Claude, ChatGPT, Gemini, Ollama and LM Studio with 52+ tools, multi-channel messaging, skills system, and OpenClaw-inspired architecture.",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker, Browser Extensions, News/Articles"
penbot,PyPI,1.2.7,1.157,AI Chatbot Penetration Testing Framework,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker"
massgen,PyPI,0.1.54,80.573,Multi-Agent Scaling System - A powerful framework for collaborative AI,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker, Browser Extensions, News/Articles"
topaz-agent-kit,PyPI,0.12.5,5.128,Config-driven multi-agent orchestration kit with optional API/UI/MCP extras,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, News/Articles"
neo4j-agent-memory,PyPI,0.0.3,0.436,A comprehensive memory system for AI agents using Neo4j,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker, Browser Extensions, News/Articles"
PraisonAI,PyPI,4.5.15,3.453,"PraisonAI is an AI Agents Framework with Self Reflection. PraisonAI application combines PraisonAI Agents, AutoGen, and CrewAI into a low-code solution for building and managing multi-agent LLM systems, focusing on simplicity, customisation, and efficient human-agent collaboration.",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, News/Articles"
sandcastle-ai,PyPI,0.10.0,0.529,"Production-ready workflow orchestrator for AI agents. Define pipelines in YAML, run locally with zero config, scale to production.",10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker, News/Articles"
donkit-ragops,PyPI,0.5.16,0.676,CLI agent for building RAG pipelines,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, Docker"
omega-memory,PyPI,0.10.6,1.181,Persistent memory for AI coding agents — #1 on LongMemEval benchmark,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker, News/Articles"
praisonaiagents,PyPI,1.5.15,2.306,Praison AI agents for completing complex tasks with Self Reflection Agents,10,✅ Web scraping | ✅ Browser automation | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Browser Automation | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub, PyPI, News/Articles"
orionbelt-analytics,PyPI,0.5.0,0.452,OrionBelt Analytics - the Ontology-based MCP server for your Text-2-SQL convenience,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: GitHub, PyPI, Docker, Browser Extensions"
@probelabs/probe,NPM,0.6.0-rc254,48.062,Node.js wrapper for the probe code search tool,10,✅ Web scraping | ✅ Database/storage | ✅ Indexing/search | ✅ Monitoring/watching | ✅ API integration | ✅ Scheduling | ✅ Data processing,"Web Scraping | Database Storage | Indexing | Monitoring | API Integration | Scheduling | Data Processing | Platforms: NPM, GitHub"
