name,version,description,lastPublished,fileCount,unpackedSize,dependenciesCount,devDependenciesCount,keywords,homepage,repositoryUrl,license,status,isFavorite,codeFileCount,docFileCount,totalLinesOfCode,entrypoints,hasTypes,techStack,id
"8g-extension","1.14.0","웹에서 데이터를 안정적으로 수집/자동화하기 위한 Chrome 확장 프로그램과 브라우저용 SDK를 제공합니다. 이 README는 실제 프로젝트 구조와 SDK 사용법, 빌드/배포 방법을 한곳에 정리합니다.","2025-10-14T02:10:55.846Z",68,589783,7,27,"","","","N/A","enriched",1,34,1,18351,"{""main"":""./dist/index.js"",""module"":""./dist/index.js"",""types"":""./dist/sdk/index.d.ts"",""exports"":""{\"".\"":{\""import\"":\""./dist/index.js\"",\""types\"":\""./dist/sdk/index.d.ts\""}}""}",true,"TypeScript;React","e51575a7-be57-47cf-a25c-5d195efe6818"
"@aethyrion/observatory-cli","0.1.0","CLI tool for Observatory - self-hosted observability platform","2025-11-08T02:28:17.438Z",16,24302,5,3,"observatory;observability;monitoring;opentelemetry;logs;metrics;traces;aethyrion","https://github.com/yourusername/observatory#readme","https://github.com/yourusername/observatory","MIT","enriched",1,8,1,413,"{""main"":""dist/index.js""}",true,"TypeScript","5998c7d1-b293-40d7-9f38-0e49ad53e589"
"@agentica/vector-selector","0.34.2","![Agentica - ReadMe Diagram](https://github.com/user-attachments/assets/ecd06d51-b818-41c8-ab31-f0e40f48034e)","2025-11-12T09:39:02.102Z",39,124246,6,12,"openai;chatgpt;anthropic;claude;ai;chatbot;nestia;swagger;openapi","https://wrtnlabs.io","https://github.com/wrtnlabs/agentica","MIT","enriched",1,28,1,2962,"{""main"":""lib/index.js"",""module"":""lib/index.mjs"",""types"":""lib/index.d.ts"",""exports"":""{\"".\"":{\""types\"":\""./lib/index.d.ts\"",\""require\"":\""./lib/index.js\"",\""default\"":\""./lib/index.mjs\""},\""./strategy\"":{\""types\"":\""./lib/strategy/index.d.ts\"",\""require\"":\""./lib/strategy/index.js\"",\""default\"":\""./lib/strategy/index.mjs\""}}""}",true,"TypeScript","9a4ea5f0-4d13-4a55-aace-e9d79ca24e1e"
"@airia-in/drcode","0.0.24","AI-powered web-based UI testing tool with Playwright - describe tests in natural language","2025-11-12T04:10:33.752Z",74,619098,17,3,"ui-testing;playwright;automation;ai;testing;web-testing;langchain;mcp;cli","https://github.com/airia-in/Drcode-UI-Testing-Automation","https://github.com/airia-in/Drcode-UI-Testing-Automation","ISC","enriched",1,72,1,19816,"{""main"":""dist/server.js""}",false,"TypeScript;Express","9c91d2af-34c7-432b-827e-f8121027997e"
"@amrhas82/agentic-kit","1.5.0","Comprehensive toolkit for AI-driven software development with 13 specialized agents and 22 powerful skills. Interactive multi-tool installer supports Claude, Opencode, Ampcode, and Droid. Available in 3 variants: Lite (3 agents, 510 KB), Standard (13 agen","2025-11-13T20:11:28.561Z",1279,37255755,0,0,"claude;claude-code;opencode;ampcode;droid;plugin;installer;interactive-installer;multi-tool;ai-agents;software-development;agile;scrum;product-management;development-tools;workflow-automation;pdf;docx;xlsx;pptx;document-generation;cli;variant-system","https://github.com/amrhas82/agentic-kit#readme","https://github.com/amrhas82/agentic-kit","MIT","enriched",1,283,413,93235,"{""main"":""index.js""}",false,"TypeScript","9a138c1d-b2eb-46fc-8f69-faecb78233d0"
"@anthonybir/universal-dev-workspace","9.0.3","Focused MCP server with 29 core DevOps tools for local development workflows","2025-10-23T23:40:58.884Z",65,444021,4,14,"mcp;claude;development;workspace;devops;typescript;tools;automation","https://github.com/anthonybir/universal-dev-workspace#readme","https://github.com/anthonybir/universal-dev-workspace","MIT","enriched",1,30,11,9974,"{""main"":""./dist/server.js"",""types"":""./dist/server.d.ts""}",true,"TypeScript","71c51a0f-d42a-4a02-9728-1831fe5b18ec"
"@antinomyhq/forge","1.9.0","Code Forge CLI - an AI-powered coding assistant","2025-11-29T07:35:29.157Z",13,500955840,0,0,"code-forge;ai;assistant;cli","https://antinomy.ai/","https://github.com/antinomyhq/forge","MIT","enriched",1,0,0,0,"{}",false,"","a08478d2-1a07-45a8-980a-b132ff98b0f6"
"@apart-tech/code-index","1.2.0","CLI tool for generating intelligent TypeScript/JavaScript code registries to reduce LLM hallucinations","2025-11-13T00:19:33.133Z",30,224346,2,1,"typescript;javascript;code-analysis;llm;ai;ast;code-registry;cli;compiler-api;developer-tools","https://github.com/yourusername/code-index#readme","https://github.com/yourusername/code-index","MIT","enriched",1,29,1,7007,"{""main"":""dist/index.js"",""types"":""dist/index.d.ts""}",true,"TypeScript","f1e7699d-47d9-448f-bbf5-22d9740a73d1"
"@ark-code/core","1.1.0","A coding agent to enhance your development workflow.","2025-10-18T01:51:51.393Z",6,17967838,0,83,"cli;ark;ai;coding-agent;agent","","","MIT","enriched",1,5,0,598893,"{""main"":""./dist/index.mjs"",""types"":""./dist/index.d.ts""}",true,"TypeScript;React;Express","04d15f2c-7b2a-4fbd-8114-fca557df1d41"
"@bdsm/di","1.0.1","Vite DI plugin","2025-11-10T17:38:23.798Z",26,22080,1,1,"","","","N/A","enriched",1,13,1,391,"{""main"":""dist/index.js"",""types"":""dist/index.d.ts"",""exports"":""{\"".\"":{\""import\"":\""./dist/index.js\"",\""require\"":\""./dist/index.js\"",\""types\"":\""./dist/index.d.ts\""}}""}",true,"TypeScript","756a58ba-bc22-42fa-b9fd-9b5999929061"
